Question,Option 1,Option 2,Option 3,Option 4,Correct
What is the term used to describe the movement of a member under load?,Stress,Compression,Strain,Torsion,Strain
"In flight, what type of load does the lift strut of a high-wing light aircraft experience?",Compression,Torsion,Tension,Shear,Tension
Which part of a helicopter rotor blade is in compression on the ground?,Upper surface,Lower surface,Leading edge,Trailing edge,Lower surface
What are the two primary types of stress in aircraft structures?,Tension and Compression,Shear and Torsion,Bending and Shear,Torsion and Compression,Tension and Compression
Tension tries to ______ a body.,Squeeze,Pull apart,Twist,Bend,Pull apart
What type of stress acts diagonally across a member under torsion?,Shear stress,Tensile stress,Compressive stress,Bending stress,Tensile stress
Which material property describes the ability to return to its original shape after deformation?,Toughness,Plasticity,Elasticity,Hardness,Elasticity
What does Hooke’s Law state in the elastic region of deformation?,Deformation is inversely proportional to force,Force is proportional to deformation,Force is constant regardless of deformation,Stress is not related to strain,Force is proportional to deformation
What is the name of the limit where permanent deformation begins in a material?,Elastic limit,Proportional limit,Ultimate stress,Yield point,Elastic limit
Which type of stress acts perpendicular to the cross-sectional area of a member?,Axial stress,Shear stress,Bending stress,Torsional stress,Axial stress
What type of stress is primarily experienced by rivets holding the aircraft’s skin?,Tensile stress,Shear stress,Compressive stress,Bending stress,Shear stress
What property describes a material’s ability to resist fracture under impact?,Toughness,Hardness,Elasticity,Malleability,Toughness
In which region of a stress-strain graph does Hooke's Law hold?,Elastic region,Plastic region,Proportional limit,Yield point,Elastic region
What type of load is a crankshaft under when spinning the propeller?,Tension,Compression,Shear,Torsion,Torsion
Which stress occurs when a force attempts to twist a structural member?,Bending stress,Shear stress,Torsional stress,Compressive stress,Torsional stress
What property describes the ability of a material to withstand scratching and wear?,Elasticity,Hardness,Toughness,Ductility,Hardness
Which stress causes a beam to experience compression on one side and tension on the other?,Shear stress,Torsional stress,Bending stress,Compressive stress,Bending stress
Which type of deformation occurs when the load exceeds the elastic limit?,Plastic deformation,Elastic deformation,Brittle fracture,Strain hardening,Plastic deformation
What is the effect of increased temperature on solid particles?,They move more slowly,They vibrate faster and gain kinetic energy,They contract and reduce in size,They stop moving,They vibrate faster and gain kinetic energy
What describes the capacity of a material for plastic deformation under tensile loading without fracture?,Malleability,Ductility,Elasticity,Hardness,Ductility
